text
"Austin Butler got nominated under the category, actor in a leading role, for the film Elvis but did not win"
"Colin Farrell got nominated under the category, actor in a leading role, for the film The Banshees of Inisherin but did not win"
"Brendan Fraser got nominated under the category, actor in a leading role, for the film The Whale to win the award"
"Paul Mescal got nominated under the category, actor in a leading role, for the film Aftersun but did not win"
"Bill Nighy got nominated under the category, actor in a leading role, for the film Living but did not win"
"Brendan Gleeson got nominated under the category, actor in a supporting role, for the film The Banshees of Inisherin but did not win"
"Brian Tyree Henry got nominated under the category, actor in a supporting role, for the film Causeway but did not win"
"Judd Hirsch got nominated under the category, actor in a supporting role, for the film The Fabelmans but did not win"
"Barry Keoghan got nominated under the category, actor in a supporting role, for the film The Banshees of Inisherin but did not win"
"Ke Huy Quan got nominated under the category, actor in a supporting role, for the film Everything Everywhere All at Once to win the award"
"Cate Blanchett got nominated under the category, actress in a leading role, for the film Tár but did not win"
"Ana de Armas got nominated under the category, actress in a leading role, for the film Blonde but did not win"
"Andrea Riseborough got nominated under the category, actress in a leading role, for the film To Leslie but did not win"
"Michelle Williams got nominated under the category, actress in a leading role, for the film The Fabelmans but did not win"
"Michelle Yeoh got nominated under the category, actress in a leading role, for the film Everything Everywhere All at Once to win the award"
"Angela Bassett got nominated under the category, actress in a supporting role, for the film Black Panther: Wakanda Forever but did not win"
"Hong Chau got nominated under the category, actress in a supporting role, for the film The Whale but did not win"
"Kerry Condon got nominated under the category, actress in a supporting role, for the film The Banshees of Inisherin but did not win"
"Jamie Lee Curtis got nominated under the category, actress in a supporting role, for the film Everything Everywhere All at Once to win the award"
"Stephanie Hsu got nominated under the category, actress in a supporting role, for the film Everything Everywhere All at Once but did not win"
"Guillermo del Toro, Mark Gustafson, Gary Ungar and Alex Bulkley got nominated under the category, animated feature film, for the film Guillermo del Toro's Pinocchio to win the award"
"Dean Fleischer Camp, Elisabeth Holm, Andrew Goldman, Caroline Kaplan and Paul Mezey got nominated under the category, animated feature film, for the film Marcel the Shell with Shoes On but did not win"
"Joel Crawford and Mark Swift got nominated under the category, animated feature film, for the film Puss in Boots: The Last Wish but did not win"
"Chris Williams and Jed Schlanger got nominated under the category, animated feature film, for the film The Sea Beast but did not win"
"Domee Shi and Lindsey Collins got nominated under the category, animated feature film, for the film Turning Red but did not win"
"James Friend got nominated under the category, cinematography, for the film All Quiet on the Western Front to win the award"
"Darius Khondji got nominated under the category, cinematography, for the film Bardo, False Chronicle of a Handful of Truths but did not win"
"Mandy Walker got nominated under the category, cinematography, for the film Elvis but did not win"
"Roger Deakins got nominated under the category, cinematography, for the film Empire of Light but did not win"
"Florian Hoffmeister got nominated under the category, cinematography, for the film Tár but did not win"
"Mary Zophres got nominated under the category, costume design, for the film Babylon but did not win"
"Ruth Carter got nominated under the category, costume design, for the film Black Panther: Wakanda Forever to win the award"
"Catherine Martin got nominated under the category, costume design, for the film Elvis but did not win"
"Shirley Kurata got nominated under the category, costume design, for the film Everything Everywhere All at Once but did not win"
"Jenny Beavan got nominated under the category, costume design, for the film Mrs. Harris Goes to Paris but did not win"
"Martin McDonagh got nominated under the category, directing, for the film The Banshees of Inisherin but did not win"
"Daniel Kwan and Daniel Scheinert got nominated under the category, directing, for the film Everything Everywhere All at Once to win the award"
"Steven Spielberg got nominated under the category, directing, for the film The Fabelmans but did not win"
"Todd Field got nominated under the category, directing, for the film Tár but did not win"
"Ruben Östlund got nominated under the category, directing, for the film Triangle of Sadness but did not win"
"Shaunak Sen, Aman Mann and Teddy Leifer got nominated under the category, documentary feature film, for the film All That Breathes but did not win"
"Laura Poitras, Howard Gertler, John Lyons, Nan Goldin and Yoni Golijov got nominated under the category, documentary feature film, for the film All the Beauty and the Bloodshed but did not win"
"Sara Dosa, Shane Boris and Ina Fichman got nominated under the category, documentary feature film, for the film Fire of Love but did not win"
"Simon Lereng Wilmont and Monica Hellström got nominated under the category, documentary feature film, for the film A House Made of Splinters but did not win"
"Daniel Roher, Odessa Rae, Diane Becker, Melanie Miller and Shane Boris got nominated under the category, documentary feature film, for the film Navalny to win the award"
"Kartiki Gonsalves and Guneet Monga got nominated under the category, documentary short film, for the film The Elephant Whisperers to win the award"
"Evgenia Arbugaeva and Maxim Arbugaev got nominated under the category, documentary short film, for the film Haulout but did not win"
"Jay Rosenblatt got nominated under the category, documentary short film, for the film How Do You Measure a Year? but did not win"
"Anne Alvergue and Beth Levison got nominated under the category, documentary short film, for the film The Martha Mitchell Effect but did not win"
"Joshua Seftel and Conall Jones got nominated under the category, documentary short film, for the film Stranger at the Gate but did not win"
"Mikkel E.G. Nielsen got nominated under the category, film editing, for the film The Banshees of Inisherin but did not win"
"Matt Villa and Jonathan Redmond got nominated under the category, film editing, for the film Elvis but did not win"
"Paul Rogers got nominated under the category, film editing, for the film Everything Everywhere All at Once to win the award"
"Monika Willi got nominated under the category, film editing, for the film Tár but did not win"
"Eddie Hamilton got nominated under the category, film editing, for the film Top Gun: Maverick but did not win"
"Germany got nominated under the category, international feature film, for the film All Quiet on the Western Front to win the award"
"Argentina got nominated under the category, international feature film, for the film Argentina, 1985 but did not win"
"Belgium got nominated under the category, international feature film, for the film Close but did not win"
"Poland got nominated under the category, international feature film, for the film EO but did not win"
"Ireland got nominated under the category, international feature film, for the film The Quiet Girl but did not win"
"Heike Merker and Linda Eisenhamerová got nominated under the category, makeup and hairstyling, for the film All Quiet on the Western Front but did not win"
"Naomi Donne, Mike Marino and Mike Fontaine got nominated under the category, makeup and hairstyling, for the film The Batman but did not win"
